"MTU","Out Area","In Area","Physical Flow (MW)"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|ES","BZN|FR","802.53"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|GB","3651.91"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|GB(ElecLink)","977.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|GB(IFA)","1929.61"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|GB(IFA2)","745.29"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|IT-North","2984.01"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 03:00:00 - 28/08/2026 04:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|BE","1625.22"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|CH","284.62"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|CH","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|DE-LU","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|DE-LU","BZN|FR","123.89"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|ES","BZN|FR","794.75"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|GB","2507.34"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|GB(ElecLink)","467.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|GB(IFA)","1702.54"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|GB(IFA2)","337.80"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|IT-North","3517.76"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 04:00:00 - 28/08/2026 05:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|BE","1608.30"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|CH","676.01"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|CH","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|DE-LU","814.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|ES","BZN|FR","876.71"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|GB","1489.11"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|GB(ElecLink)","327.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|GB(IFA)","950.37"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|GB(IFA2)","211.75"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|IT-North","3552.53"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 05:00:00 - 28/08/2026 06:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|BE","2057.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|CH","706.36"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|CH","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|DE-LU","1799.51"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|ES","BZN|FR","1801.14"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|GB","894.47"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|GB(ElecLink)","263.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|GB(IFA)","562.10"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|GB(IFA2)","69.38"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|IT-North","3829.10"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 06:00:00 - 28/08/2026 07:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|BE","2213.64"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|CH","136.85"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|CH","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|DE-LU","1408.43"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|ES","BZN|FR","1348.82"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|GB","1459.22"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|GB(ElecLink)","367.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|GB(IFA)","837.30"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|GB(IFA2)","254.92"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|IT-North","3409.92"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 07:00:00 - 28/08/2026 08:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|BE","1699.23"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|CH","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|CH","BZN|FR","776.96"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|DE-AT-LU","n/e"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|DE-AT-LU","BZN|FR","n/e"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|DE-LU","71.97"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|DE-LU","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|ES","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|ES","BZN|FR","482.18"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|GB","3438.25"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|GB","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|GB(ElecLink)","947.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|GB(ElecLink)","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|GB(IFA)","1771.81"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|GB(IFA)","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|GB(IFA2)","719.43"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|GB(IFA2)","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|IT-North","2809.05"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|IT-North","BZN|FR","0.00"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|FR","BZN|IT-North-FR","n/e"
"28/08/2026 08:00:00 - 28/08/2026 09:00:00","BZN|IT-North-FR","BZN|FR","n/e"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|BE","2856.10"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|BE","BZN|FR","0.00"
"28/08/2026 09:00:00 - 28/08/2026 10:00:00","BZN|FR","BZN|CH","0.00"
