"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"28/08/2026 03:45:00 - 28/08/2026 04:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 04:00:00 - 28/08/2026 04:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 04:15:00 - 28/08/2026 04:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 04:30:00 - 28/08/2026 04:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 04:45:00 - 28/08/2026 05:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 05:00:00 - 28/08/2026 05:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 05:15:00 - 28/08/2026 05:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 05:30:00 - 28/08/2026 05:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 05:45:00 - 28/08/2026 06:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 06:00:00 - 28/08/2026 06:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 06:15:00 - 28/08/2026 06:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 06:30:00 - 28/08/2026 06:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 06:45:00 - 28/08/2026 07:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 07:00:00 - 28/08/2026 07:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 07:15:00 - 28/08/2026 07:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 07:30:00 - 28/08/2026 07:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 07:45:00 - 28/08/2026 08:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 08:00:00 - 28/08/2026 08:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 08:15:00 - 28/08/2026 08:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 08:30:00 - 28/08/2026 08:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 08:45:00 - 28/08/2026 09:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 09:00:00 - 28/08/2026 09:15:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 09:15:00 - 28/08/2026 09:30:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 09:30:00 - 28/08/2026 09:45:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 09:45:00 - 28/08/2026 10:00:00","BZN|IT-South","Energy storage","n/e"
"28/08/2026 10:00:00 - 28/08/2026 10:15:00","BZN|IT-South","Energy storage","n/e"
